"","Length","Nonsyn_v","Syn_v","Tissuespe","Expr","Reptime","HIc","GC","ALL_tr_length","CO_tr_length","ALL_tr_count","CO_tr_count","NC_tr_count","NC_mut_rate","HI","REC","CONS","RVIS","GDI","NET"
"Length",1,0.720785435230184,0.739236384484814,-0.00189035820070624,0.00605638988366534,0.0529663516155918,0.000496379886064615,-0.142807920131687,0.462306337904559,0.513963080825012,0.348475952237739,0.279424910039894,0.32749287423237,0.0237739953529854,0.195742669064575,0.133972261549685,0.260044947536745,-0.288997602408358,0.372122324815482,0.140853923229958
"Nonsyn_v",0.720785435230184,1,0.822776407836283,0.0519763784293996,0.186395092631954,0.237623681618709,0.0862377359271052,-0.0280211265604087,0.298581176932729,0.338104499687628,0.279675372478356,0.213783519163086,0.271493592953943,0.0701847725988955,0.0725830390718779,0.0783533211757289,-0.103386847882406,-0.0909486028412592,0.497339219157772,0.0481429129975501
"Syn_v",0.739236384484814,0.822776407836283,1,0.0351465314101945,0.230167050111875,0.184510915938681,0.144404837623018,0.0604528222393552,0.330985305345812,0.381438832354485,0.314962739690486,0.243330222433611,0.302397964433335,0.0606750473888033,0.204357752513399,0.193864836855946,0.180911715879594,-0.298684967429666,0.332560059030942,0.194555109125758
"Tissuespe",-0.00189035820070624,0.0519763784293996,0.0351465314101945,1,0.0105692399022272,0.0477515204807963,-0.00975302608438925,-0.00374523222045341,0.0243286994455373,0.0227750565204475,0.00054064758461426,0.0112953349237041,-0.00781744845204779,0.0478125872258152,0.0160306992004203,0.0573428121517617,-0.0472083809272999,0.0445085971974227,0.0245088687395614,-0.0136751837615465
"Expr",0.00605638988366534,0.186395092631954,0.230167050111875,0.0105692399022272,1,-0.204252510569246,0.634394665054699,0.474059526030041,-0.224100236297958,-0.192688595113332,0.189278954996544,0.14096586760412,0.184235624105936,-0.195503535559612,0.0834193003629768,0.112237288074651,0.118297888148566,-0.103130507803957,-0.0368752215643981,0.21287475335232
"Reptime",0.0529663516155918,0.237623681618709,0.184510915938681,0.0477515204807963,-0.204252510569246,1,-0.308386896715795,-0.35397801367217,0.212359899927434,0.200856714481963,-0.0253535672224022,-0.0136361719979324,-0.02700578776195,0.498028762837749,0.0626453442272006,0.0547092119441709,-0.0622319402689626,0.0530833293219969,0.0650254234864382,-0.0349754464889028
"HIc",0.000496379886064615,0.0862377359271052,0.144404837623018,-0.00975302608438925,0.634394665054699,-0.308386896715795,1,0.373739398583373,-0.122354229484102,-0.0985608659340919,0.176309697189619,0.125792316135824,0.175639186030544,-0.326716742879816,0.10746935198621,0.12587232887964,0.125368746890933,-0.124894915401769,-0.0606650035188929,0.214171862510781
"GC",-0.142807920131687,-0.0280211265604087,0.0604528222393552,-0.00374523222045341,0.474059526030041,-0.35397801367217,0.373739398583373,1,-0.530495462142203,-0.505953890653152,-0.0690147210416507,-0.066754870600991,-0.0603369622141161,-0.197129095641705,-0.0891407837985668,-0.00542306833843214,0.0785899121285739,-0.0199467353082043,0.000592752489468837,0.0586416411126217
"ALL_tr_length",0.462306337904559,0.298581176932729,0.330985305345812,0.0243286994455373,-0.224100236297958,0.212359899927434,-0.122354229484102,-0.530495462142203,1,0.962298241646503,0.312806162529189,0.320885838020561,0.237926855239199,0.0908143968870853,0.209959680362687,0.13802446142263,0.123623982699754,-0.205878388206458,0.0791229004265106,0.0942423465819225
"CO_tr_length",0.513963080825012,0.338104499687628,0.381438832354485,0.0227750565204475,-0.192688595113332,0.200856714481963,-0.0985608659340919,-0.505953890653152,0.962298241646503,1,0.364250633468315,0.318937758283485,0.321998052995829,0.0933974943472743,0.242486712641253,0.16642733516473,0.158257192427903,-0.239791883616899,0.0769969246788359,0.136642954465328
"ALL_tr_count",0.348475952237739,0.279675372478356,0.314962739690486,0.00054064758461426,0.189278954996544,-0.0253535672224022,0.176309697189619,-0.0690147210416507,0.312806162529189,0.364250633468315,1,0.837113293268785,0.864717975619054,-0.0313819608034476,0.210613188351525,0.187528834961512,0.148472001691064,-0.238320416765732,0.0209772292834219,0.266017898050383
"CO_tr_count",0.279424910039894,0.213783519163086,0.243330222433611,0.0112953349237041,0.14096586760412,-0.0136361719979324,0.125792316135824,-0.066754870600991,0.320885838020561,0.318937758283485,0.837113293268785,1,0.501474840485803,-0.0173905456523571,0.176975223586414,0.163768610652241,0.120212571201071,-0.192368059781162,-0.00664221886109068,0.217361907187323
"NC_tr_count",0.32749287423237,0.271493592953943,0.302397964433335,-0.00781744845204779,0.184235624105936,-0.02700578776195,0.175639186030544,-0.0603369622141161,0.237926855239199,0.321998052995829,0.864717975619054,0.501474840485803,1,-0.0354797852462313,0.19005232803771,0.163176973888741,0.136884158305934,-0.221337767638434,0.0388079199083297,0.242733347397857
"NC_mut_rate",0.0237739953529854,0.0701847725988955,0.0606750473888033,0.0478125872258152,-0.195503535559612,0.498028762837749,-0.326716742879816,-0.197129095641705,0.0908143968870853,0.0933974943472743,-0.0313819608034476,-0.0173905456523571,-0.0354797852462313,1,0.0752442498272074,0.0880156187065128,0.0245998100861476,0.0253526653781263,-0.0245522942560674,0.0972333202127406
"HI",0.195742669064575,0.0725830390718779,0.204357752513399,0.0160306992004203,0.0834193003629768,0.0626453442272006,0.10746935198621,-0.0891407837985668,0.209959680362687,0.242486712641253,0.210613188351525,0.176975223586414,0.19005232803771,0.0752442498272074,1,0.772799135813712,0.319339136091277,-0.319486419266895,-0.160994076956676,0.438196473658052
"REC",0.133972261549685,0.0783533211757289,0.193864836855946,0.0573428121517617,0.112237288074651,0.0547092119441709,0.12587232887964,-0.00542306833843214,0.13802446142263,0.16642733516473,0.187528834961512,0.163768610652241,0.163176973888741,0.0880156187065128,0.772799135813712,1,0.250804404069927,-0.262266833086862,-0.136688508132166,0.457907321609678
"CONS",0.260044947536745,-0.103386847882406,0.180911715879594,-0.0472083809272999,0.118297888148566,-0.0622319402689626,0.125368746890933,0.0785899121285739,0.123623982699754,0.158257192427903,0.148472001691064,0.120212571201071,0.136884158305934,0.0245998100861476,0.319339136091277,0.250804404069927,1,-0.342856223617661,-0.188765908874524,0.349177219386118
"RVIS",-0.288997602408358,-0.0909486028412592,-0.298684967429666,0.0445085971974227,-0.103130507803957,0.0530833293219969,-0.124894915401769,-0.0199467353082043,-0.205878388206458,-0.239791883616899,-0.238320416765732,-0.192368059781162,-0.221337767638434,0.0253526653781263,-0.319486419266895,-0.262266833086862,-0.342856223617661,1,0.277422918490687,-0.321243483966713
"GDI",0.372122324815482,0.497339219157772,0.332560059030942,0.0245088687395614,-0.0368752215643981,0.0650254234864382,-0.0606650035188929,0.000592752489468837,0.0791229004265106,0.0769969246788359,0.0209772292834219,-0.00664221886109068,0.0388079199083297,-0.0245522942560674,-0.160994076956676,-0.136688508132166,-0.188765908874524,0.277422918490687,1,-0.189039594317575
"NET",0.140853923229958,0.0481429129975501,0.194555109125758,-0.0136751837615465,0.21287475335232,-0.0349754464889028,0.214171862510781,0.0586416411126217,0.0942423465819225,0.136642954465328,0.266017898050383,0.217361907187323,0.242733347397857,0.0972333202127406,0.438196473658052,0.457907321609678,0.349177219386118,-0.321243483966713,-0.189039594317575,1
